name;source;type;minOccurs;maxOccurs;elementURI;classURI;documentation;;
Dataset;/;ComplexType;1;1;http://purl.org/pliniancore/terms/Dataset;null;Root element from which all other elements will branch from;;
Metadata;Dataset;MetadataType;1;1;http://purl.org/pliniancore/terms/Metadata;http://purl.org/pliniancore/terms/MetadataClass;Information about the collections of records. This is an Extension of abcd: ContentMetadata.;;
TaxonRecord;Dataset;ComplexType;1;unbounded;http://purl.org/pliniancore/terms/TaxonRecord;null;Information about the record.;;
RecordMetadata;Dataset:TaxonRecord;ComplexType;1;1;http://purl.org/pliniancore/terms/RecordMetadata;null;NULL;;
Language;Dataset:TaxonRecord:RecordMetadata;NormalString;0;1;http://purl.org/pliniancore/terms/RecordMetadata/Language;http://purl.org/pliniancore/terms/NormalString;The language of the taxon record, according to ISO 639.;;
TargetAudiences;Dataset:TaxonRecord:RecordMetadata;ComplexType;0;1;http://purl.org/pliniancore/terms/RecordMetadata/TargetAudiences;null;Users to which the information is addressed. The defined audiences are: Biodiversity researchers, teachers and students, decision makers, professionals from another areas and general public.;;
Audience;Dataset:TaxonRecord:RecordMetadata:TargetAudiences;NormalString;1;unbounded;http://purl.org/pliniancore/terms/RecordMetadata/Audience;http://purl.org/pliniancore/terms/NormalString;Repetitive concept where the target audiences are written one by one. (Predetermined list:      01. Expert (High).       02. Knowledgeable (Medium).       03. General (Low));;
AudiencesUnstructured;Dataset:TaxonRecord:RecordMetadata:TargetAudiences;NormalString;0;1;http://purl.org/pliniancore/terms/RecordMetadata/AudiencesUnstructured;http://purl.org/pliniancore/terms/NormalString;List audience codes separated by means of comma or /.;;
Version;Dataset:TaxonRecord:RecordMetadata;VersionType;0;1;http://purl.org/pliniancore/terms/RecordMetadata/Versions;http://purl.org/pliniancore/terms/VersionClass;Number and date of the current version.;;
Major;Dataset:TaxonRecord:RecordMetadata:Version;NormalString;1;1;http://purl.org/pliniancore/terms/Version/Major;http://purl.org/pliniancore/terms/NormalString;The major version number ('1' in 1.2) as defined by the content creators.;;
Minor;Dataset:TaxonRecord:RecordMetadata:Version;NormalString;0;1;http://purl.org/pliniancore/terms/Version/Minor;http://purl.org/pliniancore/terms/NormalString;An optional minor version number ('2' in 1.2);;
Modifier;Dataset:TaxonRecord:RecordMetadata:Version;NormalString;0;1;http://purl.org/pliniancore/terms/Version/Modifier;http://purl.org/pliniancore/terms/NormalString;Unconstrained text specifying status + optional number, e. g., 'beta', 'alpha', 'rc/release candidate', 'internal'. If missing, release status is assumed.;;
DateIssued;Dataset:TaxonRecord:RecordMetadata:Version;NormalString;0;1;http://purl.org/pliniancore/terms/Version/DateIssued;http://purl.org/pliniancore/terms/NormalString;Source for Dublin-Core standard element Date.Issued: Citable 'publication date' of the current version (comp. RevisionData/DateCreated and DateModified for version- independent dates). This date should be missing if the current version is not yet published!;;
PreferredFlag;Dataset:TaxonRecord:RecordMetadata:Version;NormalString;0;1;http://purl.org/pliniancore/terms/Version/PreferredFlag;http://purl.org/pliniancore/terms/NormalString;TRUE to indicate currente version when providers serve more than one record per taxon.;;
Revision;Dataset:TaxonRecord:RecordMetadata;RevisionType;1;1;http://purl.org/pliniancore/terms/RecordMetadata/Revision;http://purl.org/pliniancore/terms/RevisionClass;Creators, revision status and dates of the entire data collection.;;
associatedParty;Dataset:TaxonRecord:RecordMetadata:Revision;eml:AgentWithRoleType;0;1;http://knb.ecoinformatics.org/software/eml/eml-2.1.1/eml-resource.html#associatedParty;http://knb.ecoinformatics.org/software/eml/eml-2.1.1/eml-party.html#ResponsibleParty;"The 'associatedParty' element provides the full name of other people, organizations, or positions who should be associated with the resource. These parties might play various roles in the creation or maintenance of the resource, and these roles should be indicated in the ""role"" element.";;
pubDate;Dataset:TaxonRecord:RecordMetadata:Revision;eml:pubDate;1;1;http://knb.ecoinformatics.org/software/eml/eml-2.1.1/eml-resource.html#pubDate;http://knb.ecoinformatics.org/software/eml/eml-2.1.1/eml-resource.html#yearDate;The 'pubDate' field represents the date that the resource was published. The format should be represented as: CCYY, which represents a 4 digit year, or as CCYY-MM-DD, which denotes the full year, month, and day. Note that month and day are optional components. Formats must conform to ISO 8601.;;
dc:created;Dataset:TaxonRecord:RecordMetadata:Revision;date;1;1;http://dublincore.org/documents/2012/06/14/dcmi-terms/?v=terms#created;http://purl.org/pliniancore/terms/;NULL;;
BaseElements;Dataset:TaxonRecord;ComplexType;1;1;http://purl.org/pliniancore/terms/BaseElements;null;Basic information to identify the record.;;
TaxonRecordID;Dataset:TaxonRecord:BaseElements;NormalString;1;1;http://purl.org/pliniancore/terms/BaseElements/TaxonRecordID;http://purl.org/pliniancore/terms/NormalString;Unique identifier of the record within the database.;;
taxonConceptID;Dataset:TaxonRecord:BaseElements;Taxon;1;1;http://rs.tdwg.org/dwc/terms/taxonConceptID; http://rs.tdwg.org/dwc/terms/Taxon;An identifier for the taxonomic concept to which the record refers - not for the nomenclatural details of a taxon.;;
GlobalUniqueIdentifier;Dataset:TaxonRecord:BaseElements;NormalString;0;1;http://purl.org/pliniancore/terms/BaseElements/GlobalUniqueIdentifier;http://purl.org/pliniancore/terms/NormalString;According to DarwinCore: An Uniform Resource Name (URN) used as an unique identifier of the taxon record.;;
Abstract;Dataset:TaxonRecord:BaseElements;NormalString;0;1;http://purl.org/pliniancore/terms/BaseElements/Abstract;http://purl.org/pliniancore/terms/NormalString;A brief summary of the most relevant or attractive features of this taxón to the general public.  Could point to any kind of information. Example: Blue whale is the largest mammal in the world.;;
NomenclatureAndClassification;Dataset:TaxonRecord;NomenclatureAndClassificationType;0;1;http://purl.org/pliniancore/terms/NomenclatureAndClassification;http://purl.org/pliniancore/terms/NomenclatureAndClassificationClass;Standard information for every known taxon.;;
TaxonRecordName;Dataset:TaxonRecord:NomenclatureAndClassification;ComplexType;1;1;http://purl.org/pliniancore/terms/NomenclatureAndClassification/TaxonRecordName;null;Complete information about the name of the taxon;;
