name;source;type;minOccurs;maxOccurs;elementURI;classURI;documentation;;
ScientificName;Dataset:TaxonRecord:NomenclatureAndClassification:TaxonRecordName;ComplexType;1;1;http://tdwg.napier.ac.uk/tcs_doc101/#complexType_ScientificName_Link03700D40;null;Complete name of the taxon.;;
Synonyms;Dataset:TaxonRecord:NomenclatureAndClassification;SynonymsClass;0;1;http://purl.org/pliniancore/terms/NomenclatureAndClassification/Synonyms;http://purl.org/pliniancore/terms/SynonymsClass;Different names for this taxon. This concept is a placeholder field.;;
SynonymsAtmomized;Dataset:TaxonRecord:NomenclatureAndClassification:Synonyms;SynonymsAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Synonyms/SynonymsAtomized;http://purl.org/pliniancore/terms/SynonymsAtomizedClass;Structured information.;;
SynonymName;Dataset:TaxonRecord:NomenclatureAndClassification:Synonyms:SynonymsAtomized;ComplexType;1;1;http://tdwg.napier.ac.uk/tcs_doc101/#complexType_ScientificName_Link03700D40;null;NULL;;
SynonymStatus;Dataset:TaxonRecord:NomenclatureAndClassification:Synonyms:SynonymsAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/Synonyms/SynonymsAtomized/SynonymStatus;http://purl.org/pliniancore/terms/NormalString;NULL;;
SynonymsUnstructured;Dataset:TaxonRecord:NomenclatureAndClassification:Synonyms;NormalString;1;1;http://purl.org/pliniancore/terms/Synonyms/SynonymsUnstructured;http://purl.org/pliniancore/terms/NormalString;Unstructured information.;;
CommonNames;Dataset:TaxonRecord:NomenclatureAndClassification;CommonNamesType;0;1;http://purl.org/pliniancore/terms/NomenclatureAndClassification/CommonNames;http://purl.org/pliniancore/terms/CommonNamesClass;List of vernacular names.;;
CommonNamesAtomized;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames;CommonNamesAtomizedType;0;unbounded;http://purl.org/pliniancore/terms/CommonNames/CommonNamesAtomized;http://purl.org/pliniancore/terms/CommonNamesAtomizedClass;Structured information.;;
Name;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames:CommonNamesAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/CommonNamesAtomized/Name;http://purl.org/pliniancore/terms/NormalString;NULL;;
Language;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames:CommonNamesAtomized;ComplexType;0;1;http://purl.org/pliniancore/terms/CommonNamesAtomized/Language;http://purl.org/pliniancore/terms/NormalString;NULL;;
ISO639;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames:CommonNamesAtomized:Language;NormalString;0;1;http://www.loc.gov/standards/iso639-2/php/code_list.php;http://purl.org/pliniancore/terms/NormalString; ISO 639-2 is the alpha-3 code in Codes for the representation of names of languages;;
LanguageName;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames:CommonNamesAtomized:Language;NormalString;0;1;http://purl.org/pliniancore/terms/CommonNamesAtomized/LanguageName;http://purl.org/pliniancore/terms/NormalString;NULL;;
UsedIn;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames:CommonNamesAtomized;DistributionType;0;1;http://purl.org/pliniancore/terms/CommonNamesAtomized/UsedIn;http://purl.org/pliniancore/terms/DistributionClass;Location where the common name is used;;
UsedBy;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames:CommonNamesAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/CommonNamesAtomized/UsedBy;http://purl.org/pliniancore/terms/NormalString;NULL;;
CommonNamesUnstructured;Dataset:TaxonRecord:NomenclatureAndClassification:CommonNames;NormalString;1;1;http://purl.org/pliniancore/terms/CommonNames/CommonNamesUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Hierarchy;Dataset:TaxonRecord:NomenclatureAndClassification;HierarchyType;0;unbounded;http://purl.org/pliniancore/terms/NomenclatureAndClassification/Hierarchy;http://purl.org/pliniancore/terms/pliniancore/terms/HierarchyClass; Hierarchical categories. Modified from Linnean Core. Option: fill all or principal ranks and optionally provide keys;;
dwc:kingdom;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/kingdom;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the kingdom in which the taxon is classified.  Example: ""Animalia"", ""Plantae"".";;
dwc:phylum;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/phylum ;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the phylum or division in which the taxon is classified. Example: ""Chordata"" (phylum), ""Bryophyta"" (division).";;
dwc:class;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/class;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the class in which the taxon is classified. Example: ""Mammalia"", ""Hepaticopsida"".";;
dwc:order;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/order;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the order in which the taxon is classified. Example: ""Carnivora"", ""Monocleales"".";;
dwc:family;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/family;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the family in which the taxon is classified. Example: ""Felidae"", ""Monocleaceae"".";;
dwc:genus;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/genus;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the genus in which the taxon is classified. Example: ""Puma"", ""Monoclea"".";;
dwc:subgenus;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/subgenus;http://rs.tdwg.org/dwc/terms/Taxon;"The full scientific name of the subgenus in which the taxon is classified. Values should include the genus to avoid homonym confusion. Example: ""Strobus (Pinus)"", ""Puma (Puma)"" ""Loligo (Amerigo)"", ""Hieracium subgen. Pilosella"".";;
dwc:taxonRank;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/taxonRank;http://rs.tdwg.org/dwc/terms/Taxon;"The taxonomic rank of the most specific name in the scientificName. Recommended best practice is to use a controlled vocabulary. Examples: ""subspecies"", ""varietas"", ""forma"", ""species"", ""genus"".";;
dwc:specificEpithet;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/specificEpithet;http://rs.tdwg.org/dwc/terms/Taxon;"The name of the first or species epithet of the scientificName. Example: ""concolor"", ""gottschei"".";;
dwc:infraspecificEpithet;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/infraspecificEpithet;http://rs.tdwg.org/dwc/terms/Taxon;"The name of the lowest or terminal infraspecific epithet of the scientificName, excluding any rank designation. Example: ""concolor"", ""oxyadenia"", ""sayi"".";;
dwc:higherClassification;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;TaxonType;0;1;http://rs.tdwg.org/dwc/terms/higherClassification;http://rs.tdwg.org/dwc/terms/Taxon;"A list (concatenated and separated) of taxa names terminating at the rank immediately superior to the taxon referenced in the taxon record. Recommended best practice is to order the list starting with the highest rank and separating the names for each rank with a semi-colon ("";""). Example: ""Animalia;Chordata;Vertebrata;Mammalia;Theria;Eutheria;Rodentia;Hystricognatha;Hystricognathi;Ctenomyidae;Ctenomyini;Ctenomys"".";;
ParentTaxon;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy;ComplexType;0;1;http://purl.org/pliniancore/terms/Hierarchy/ParentTaxon;null;NULL;;
taxonValue;Dataset:TaxonRecord:NomenclatureAndClassification:Hierarchy:ParentTaxon;NormalString;1;1;http://purl.org/pliniancore/terms/Hierarchy/taxonValue;http://purl.org/pliniancore/terms/NormalString;NULL;;
MiscDetails;Dataset:TaxonRecord:NomenclatureAndClasification;MiscDetailsType;0;1;http://purl.org/pliniancore/terms/NomenclatureAndClassification/MiscDetails;http://purl.org/pliniancore/terms/MiscDetailClass; Miscellaneus: notes attached to the taxon information. E.g. Pronunciation, etymology, ...;;
DetailAtomized;Dataset:TaxonRecord:NomenclatureAndClasification:MiscDetails;DetailType;1;unbounded;http://purl.org/pliniancore/terms/MiscDetails/DetailAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
Attribute;Dataset:TaxonRecord:NomenclatureAndClasification:MiscDetails:DetailAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/Detail/Attribute;http://purl.org/pliniancore/terms/NormalString;NULL;;
Value;Dataset:TaxonRecord:NomenclatureAndClasification:MiscDetails:DetailAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/Detail/Value;http://purl.org/pliniancore/terms/NormalString;NULL;;
dwc:MeasurementOrFact;Dataset:TaxonRecord:NomenclatureAndClasification:MiscDetails:DetailAtomized;MeasurementOrFactType;0;unbounded;http://rs.tdwg.org/dwc/terms/MeasurementOrFact;http://rs.tdwg.org/dwc/terms/MeasurementOrFact;The category of information pertaining to measurements, facts, characteristics, or assertions about a resource (instance of data record, such as Occurrence, Taxon, Location, Event).;;
DetailUnstructured;Dataset:TaxonRecord:NomenclatureAndClasification:MiscDetails;NormalString;0;1;http://purl.org/pliniancore/terms/Detail/DetailUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
NomenclatureAndClassificationUnstructured;Dataset:TaxonRecord:NomenclatureAndClasification;NormalString;0;1;http://purl.org/pliniancore/terms/NomenclatureAndClassification/NomenclatureAndClassificationUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
TaxonomicalDescription;Dataset:TaxonRecord;TaxonomicalDescriptionType;0;1;http://purl.org/pliniancore/terms/TaxonomicalDescription;http://purl.org/pliniancore/terms/TaxonomicalDescriptionClas;Description of Taxon: Brief description, Full description, Identification keys and Ancillary Data.;;
BriefDescription;Dataset:TaxonRecord:TaxonomicalDescription;NormalString;0;1;http://purl.org/pliniancore/terms/TaxonomicalDescription/BriefDescription;http://purl.org/pliniancore/terms/NormalString;Brief description, presented in a simple technical language, to distinguish the species from other close or similar ones.;;
FullDescription;Dataset:TaxonRecord:TaxonomicalDescription;ComplexType;0;1;http://purl.org/pliniancore/terms/TaxonomicalDescription/FullDescription;null;Complete and detailed account of the taxonomic and systematic characters, i.e. those that define and allow to recognize an organism.;;
FullDescriptionAtomized;Dataset:TaxonRecord:TaxonomicalDescription:FullDescription;DetailType;1;unbounded;http://purl.org/pliniancore/terms/TaxonomicalDescription/FullDescriptionAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
FullDescriptionUnstructured;Dataset:TaxonRecord:TaxonomicalDescription:FullDescription;NormalString;1;1;http://purl.org/pliniancore/terms/TaxonomicalDescription/FullDescriptionUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
IdentificationKeys;Dataset:TaxonRecord:TaxonomicalDescription;ComplexType;0;1;http://purl.org/pliniancore/terms/TaxonomicalDescription/IdentificationKeys;null;Tool for the identification of organisms, comprising a series of steps, each of which represents a question about one or more characters of the organism. Each step offers multiple alternatives, choosing one of them will lead us to the next step until ending, finally, in the name of the organism. Most printed keys have only two alternatives, so called dichotomous keys. A taxon includes a key or an identification of key  in the subordinate taxons. For example: If we are in a register of a genre, this register would include the keys of the species that this register includes, and if it´s one specie, then it would include the key of the infraspecific rank (For plants: subspecies, variety forms);;
Keys;Dataset:TaxonRecord:TaxonomicalDescription:IdentificationKeys;NormalString;1;unbounded;http://purl.org/pliniancore/terms/TaxonomicalDescription/Keys;http://purl.org/pliniancore/terms/NormalString;Dichotomic  or multientrance keys.;;
TaxonomicalDescriptionUnstructured;Dataset:TaxonRecord:TaxonomicalDescription;NormalString;1;1;http://purl.org/pliniancore/terms/TaxonomicalDescription/TaxonomicalDescriptionUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
NaturalHistory;Dataset:TaxonRecord;NaturalHistoryType;0;1;http://purl.org/pliniancore/terms/NaturalHistory;http://purl.org/pliniancore/terms/NaturalHistoryClass;Most relevant description about the species.;;
LifeForm;Dataset:TaxonRecord:NaturalHistory;DetailType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/LifeForm;http://purl.org/pliniancore/terms/DetailClass;General appearance. Characteristic mode of growth or occurrence associated to its environment, particularly for plants. Comprising its size, shape, texture and orientation. Example: tree, shrubs, herbs. ;;
LifeCycle;Dataset:TaxonRecord:NaturalHistory;DetailType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/LifeCycle;http://purl.org/pliniancore/terms/DetailClass;Life history of a living organism: The course of developmental changes in an organism from fertilized zygote to maturity or stages through which an organism passes. ;;
Reproduction;Dataset:TaxonRecord:NaturalHistory;ReproductionType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/Reproduction;http://purl.org/pliniancore/terms/ReproductionClass;All data related to the production of offspring.;;
ReproductionAtomized;Dataset:TaxonRecord:NaturalHistory:Reproduction;ReproductionAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Reproduction/ReproductionAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
ReproductionUnstructured;Dataset:TaxonRecord:NaturalHistory:Reproduction;NormalString;1;1;http://purl.org/pliniancore/terms/Reproduction/ReproductionUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
AnnualCycles;Dataset:TaxonRecord:NaturalHistory;AnnualCyclesType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/AnnualCycles;http://purl.org/pliniancore/terms/AnnualCyclesClass;"Set of changes or events that recurrently take place at the same time of year and are influenced by seasonal and interannual climate variations. For example: reproduction, flowering, fruiting, emergence of insects, etc. Also called phenology, mainly in plants. In the case of migration, refers only to the timing of it; other data about this are gathered in MigratoryData.";;
AnnualCycleAtomized;Dataset:TaxonRecord:NaturalHistory:AnnualCycles;AnnualCycleAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/AnnualCycles/AnnualCyclesAtomized;http://purl.org/pliniancore/terms/AnnualCyclesAtomizedClass;NULL;;
AnnualCycleUnstructured;Dataset:TaxonRecord:NaturalHistory:AnnualCycles;NormalString;1;1;http://purl.org/pliniancore/terms/AnnualCycles/AnnualCyclesUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Feeding;Dataset:TaxonRecord:NaturalHistory;FeedingType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/Feeding;http://purl.org/pliniancore/terms/FeedingClass;Information related to supply food for the development and sustenance of the individual and/or its offspring.;;
FeedingAtomized;Dataset:TaxonRecord:NaturalHistory:Feeding;FeedingAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Feeding/FeedingAtomized;http://purl.org/pliniancore/terms/FeedingAtomizedClass;NULL;;
TrophicStrategy;Dataset:TaxonRecord:NaturalHistory:Feeding:FeedingAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/FeedingAtomized/TrophicStrategy;http://purl.org/pliniancore/terms/NormalString;Tactic used to obtain energy or nutrients.;;
TrophicStrategyQualifier;Dataset:TaxonRecord:NaturalHistory:Feeding:FeedingAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/FeedingAtomized/ThropicStrategyQualifier;http://purl.org/pliniancore/terms/NormalString;Information notes about specific strategy of feeding. ;;
FeedingUnstructured;Dataset:TaxonRecord:NaturalHistory:Feeding;NormalString;1;1;http://purl.org/pliniancore/terms/Feeding/FeedingUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Dispersal;Dataset:TaxonRecord:NaturalHistory;DispersalType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/Dispersal;http://purl.org/pliniancore/terms/DispersalClass;The permanent spreading of individuals away from each other not including return. Dispersal determines the range over which genetic mixing occurs, and thus, the degree of homogeneity and inbreeding in a population;;
DispersalAtomized;Dataset:TaxonRecord:NaturalHistory:Dispersal;DispersalAtomizedType;1;1;http://purl.org/pliniancore/terms/Dispersal/DispersalAtomized;http://purl.org/pliniancore/terms/DispersalAtomizedClass;NULL;;
Purpose;Dataset:TaxonRecord:NaturalHistory:Dispersal:DispersalAtomized;MeasurementOrFactType;1;unbounded;http://purl.org/pliniancore/terms/DispersalAtomized/Purpose; http://rs.tdwg.org/dwc/terms/MeasurementOrFact;Makes reference to any data being measured (e.g. annual precipitation). ;;
Type;Dataset:TaxonRecord:NaturalHistory:Dispersal:DispersalAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/DispersalAtomized/Type;http://purl.org/pliniancore/terms/NormalString;Controlled vocabulary: Zoochory, Anemochory, Hydrochory, Barochory, Autochory;;
StructuredDispersed;Dataset:TaxonRecord:NaturalHistory:Dispersal:DispersalAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/DispersalAtomized/StructureDispersed;http://purl.org/pliniancore/terms/NormalString;Controlled vocabulary: Seed, Fruit, Vegetative structure, Spores, Gametes, Eggs, Offspring and Individuals;;
Distance;Dataset:TaxonRecord:NaturalHistory:Dispersal:DispersalAtomized;MeasurementOrFactType;1;1;http://purl.org/pliniancore/terms/DispersalAtomized/Distance; http://rs.tdwg.org/dwc/terms/MeasurementOrFact;Ej: 450 cm;;
DispersalUnstructured;Dataset:TaxonRecord:NaturalHistory:Dispersal;NormalString;1;1;http://purl.orgre/terms/Dispersal/DispersalUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Behavior;Dataset:TaxonRecord:NaturalHistory;BehaviorType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/Behavior;http://purl.org/pliniancore/terms/BehaviorClass;Responses, reactions or movements made by an organism in a particular situation.;;
BehaviorAtomized;Dataset:TaxonRecord:NaturalHistory:Behavior;DetailType;1;1;http://purl.org/pliniancore/terms/Behavior/BehaviorAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
BehaviorUnstructured;Dataset:TaxonRecord:NaturalHistory:Behavior;NormalString;1;1;http://purl.org/pliniancore/terms/Behavior/BehaviorUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Interactions;Dataset:TaxonRecord:NaturalHistory;InteractionsType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/Interactions;http://purl.org/pliniancore/terms/InteractionClass;Mutual or reciprocal actions or influences.  For example, predation, parasitism, mutualism, etc.  Relations with products grown and stored by man (plagues) are also included.;;
InteractionAtomized;Dataset:TaxonRecord:NaturalHistory:Interactions;InteractionAtomizedType;1;unbounded;http://purl.org/pliniancore/terms/Interactions/InteractionAtomized;http://purl.org/pliniancore/terms/InteractionAtomized/InteractionAtomized;NULL;;
InteractionSpecies;Dataset:TaxonRecord:NaturalHistory:Interactions:InteractionAtomized;dwc:ResourceRelationship;1;1;http://purl.org/pliniancore/terms/InteractionAtomized/InteractionSpecies;http://rs.tdwg.org/dwc/terms/ResourceRelationship;The category of information pertaining to relationships between resources (instances of data records, such as Occurrences, Taxa, Locations, Events.;;
InteractionSpeciesComments;Dataset:TaxonRecord:NaturalHistory:Interactions:InteractionAtomized;NormalString;0;1;http://purl.org/pliniancore/terms/InteractionAtomized/InteractionSpeciesComments;http://purl.org/pliniancore/terms/NormalString;Notes about the interactions.;;
InteractionSpeciesType;Dataset:TaxonRecord:NaturalHistory:Interactions:InteractionAtomized;NormalString;1;unbounded;http://purl.org/pliniancore/terms/InteractionAtomized/InteractionSpeciesType;http://purl.org/pliniancore/terms/NormalString;String with the type of interaction.;;
InteractionUnstructured;Dataset:TaxonRecord:NaturalHistory:Interactions;NormalString;1;1;http://purl.org/pliniancore/terms/Interactions/InteractionUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
MolecularData;Dataset:TaxonRecord:NaturalHistory;MolecularDataType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/MolecularData;http://purl.org/pliniancore/terms/MolecularDataClass;Information on the chemical structures and biological processes at the molecular level: DNA and proteins sequences, protein structures, expression profiles of genes protein domains, families of genes,  mutations, polymorphisms, involvement in disease, ... Undeveloped. Placeholder for connecting with standards developed by specialists. For example, Standards for Data Exchange and Management from Scalalife (http://www.scalalife.eu/content/data);;
MolecularDataAtomized;Dataset:TaxonRecord:NaturalHistory:MolecularData;DetailType;1;unbounded;http://purl.org/pliniancore/terms/MolecularData/MolecularDataAtomized;http://purl.org/pliniancore/terms/DetailClass;NULL;;
MolecularDataUnstructured;Dataset:TaxonRecord:NaturalHistory:MolecularData;NormalString;1;1;http://purl.org/pliniancore/terms/MolecularData/MolecularDataUnstructured;http://purl.org/pliniancore/terms/NormalString;NULL;;
Migratory;Dataset:TaxonRecord:NaturalHistory;MigratoryType;0;1;http://purl.org/pliniancore/terms/NaturalHistory/Migratory;http://purl.org/pliniancore/terms/MigratoryDataClass;The regular, usually seasonal, movement of all or part of an animal population to and from a given area, which can occur in variable periods of time and even involve more than one generation. ;;
MigratoryAtomized;Dataset:TaxonRecord:NaturalHistory:Migratory;MigratoryAtomizedType;1;1;http://purl.org/pliniancore/terms/Migratory/MigratoryAtomized;http://purl.org/pliniancore/terms/MigratoryAtomizedClass;NULL;;
Causes;Dataset:TaxonRecord:NaturalHistory:Migratory:MigratoryAtomized;NormalString;1;unbounded;http://purl.org/pliniancore/terms/MigratoryAtomized/Causes;http://purl.org/pliniancore/terms/NormalString;Controlled vocabulary: Seasonal climatic variation, Resource availability and Reproduction ;;
Patterns;Dataset:TaxonRecord:NaturalHistory:Migratory:MigratoryAtomized;NormalString;1;unbounded;http://purl.org/pliniancore/terms/MigratoryAtomized/Patterns;http://purl.org/pliniancore/terms/NormalString;Controlled vocabulary: Latitudinal, Longitudinal , Altitudinal , Vertical in water columns and Local migrant;;
Routes;Dataset:TaxonRecord:NaturalHistory:Migratory:MigratoryAtomized;NormalString;1;1;http://purl.org/pliniancore/terms/MigratoryAtomized/Routes;http://purl.org/pliniancore/terms/NormalString;Trajectory followed by the species;;
